model,location,horizon,rmse,mae,r2
random_forest (served v4),all,1,0.15454074049236635,0.03775801893457662,0.9998221208542162
sarima,karachi,1,27.196616811311912,25.75096525524329,-4.597591751236287
seasonal_naive,karachi,1,7.244696198129697,5.111821086261981,0.6027976466175147
lstm (served v5),all,24,4.8100903445520995,4.003028608348272,0.8597253728746069
sarima,karachi,24,26.883335906559882,25.361957874326198,-4.2778777881588175
seasonal_naive,karachi,24,7.26055472757259,5.118210862619808,0.6150249188343272
lstm (served v5),all,48,7.3432724793030335,6.318999094505832,0.6719293375043724
sarima,karachi,48,26.882582632237828,25.361371203199095,-4.33184097592802
seasonal_naive,karachi,48,7.368007867538025,5.31629392971246,0.5994697045690537
lstm (served v4),all,72,9.94423677499851,8.935065151246127,0.3532200405672885
sarima,karachi,72,26.667591276884245,25.14353213590596,-4.193263129606591
seasonal_naive,karachi,72,7.36887504907078,5.322683706070287,0.6034708380727769
